Customer ID,Gender,DOB,First Name,Last Name,Phone Number,Loyalty Tier,Marketing Segment
"""CID7719678""",Male,5/28/1977,Nathan,Rios,04208 163 841,Bronze,Frequent Rider
"""CID3870048""",Male,1/11/1989,Anna,Farmer,04639 227 729,Bronze,Occasional
"""CID2977484""",Male,7/23/1984,Micah,Rivas,04203 165 252,Bronze,Frequent Rider
"""CID7550481""",Male,7/11/1994,Maverick,Mccoy,04462 336 966,Silver,New
"""CID2507102""",Male,2/23/1971,Weston,Fowler,04592 350 326,Silver,New
"""CID5717521""",Male,5/26/1984,Sophie,Stokes,04823 547 365,Silver,New
"""CID7891331""",Male,10/11/1994,Vivian,Lee,04623 893 603,Bronze,Frequent Rider
"""CID7444351""",Male,3/17/1976,Violet,Palmer,04104 726 855,Gold,New
"""CID3631860""",Male,8/18/1985,Abigail,Villarreal,04130 632 151,Silver,New
"""CID9849259""",Male,7/19/1975,Colton,Harvey,04552 198 812,Bronze,New
"""CID5901711""",Male,9/20/1984,Jayden,Serrano,04896 124 303,Bronze,Occasional
"""CID5856503""",Male,9/8/2001,Micah,Walsh,04864 440 644,Bronze,Occasional
"""CID9716528""",Male,7/8/1993,Santiago,Fletcher,04109 420 687,Bronze,Occasional
"""CID9377721""",Male,5/18/1980,Lincoln,Woods,04666 766 152,Bronze,Occasional
"""CID9520433""",Male,9/15/1988,August,Freeman,04461 505 911,Bronze,New
"""CID9958715""",Male,5/5/1991,Eleanor,Higgins,04228 325 279,Silver,New
"""CID4355670""",Male,12/26/1984,Joseph,Francis,04719 541 167,Gold,New
"""CID3037053""",Male,11/15/1976,Ava,Jensen,04996 901 596,Gold,New
"""CID5112050""",Male,11/21/1977,Genesis,Cook,04912 896 958,Bronze,Occasional
"""CID5558118""",Male,4/14/1979,Elena,Francis,04755 505 732,Bronze,New
"""CID3196782""",Male,2/14/1989,Michael,Pearson,04174 691 516,Bronze,New
"""CID7364449""",Male,8/24/1991,Gabriel,Klein,04705 391 781,Bronze,Occasional
"""CID3474992""",Male,10/9/1989,Julian,Avila,04576 208 994,Bronze,Occasional
"""CID8262635""",Male,7/4/1988,Leah,Richards,04660 585 800,Silver,New
"""CID7875150""",Male,8/13/1993,Josiah,Brock,04837 241 884,Bronze,New
"""CID4795905""",Male,4/15/1977,Leo,Benson,04447 622 253,Silver,New
"""CID7798304""",Male,2/27/1996,Leilani,Palmer,04920 277 813,Bronze,New
"""CID8795963""",Male,11/18/1973,Lillian,Cohen,04203 475 122,Bronze,New
"""CID6059557""",Male,6/13/1985,Caleb,Griffith,04505 599 637,Silver,New
"""CID9079088""",Male,4/19/1985,Millie,James,04758 997 788,Silver,New
"""CID4738537""",Male,1/2/1993,Jose,Castillo,04293 603 462,Bronze,Frequent Rider
"""CID2808212""",Male,1/17/2002,Scarlett,Rivera,04954 458 933,Bronze,New
"""CID5040634""",Male,4/13/1993,Claire,Reese,04804 152 288,Silver,New
"""CID7358763""",Male,9/23/1993,Zoey,Saunders,04991 760 188,Bronze,Occasional
"""CID9386278""",Male,7/25/1985,Camila,Figueroa,04589 629 502,Bronze,Frequent Rider
"""CID9965847""",Male,7/8/1994,Elizabeth,Ball,04766 889 392,Bronze,New
"""CID1266188""",Male,9/25/1984,David,Barnes,04191 310 780,Silver,New
"""CID8470723""",Male,7/29/1987,Charles,Hines,04132 458 607,Bronze,Occasional
"""CID1816553""",Male,4/10/1985,Aurora,Stewart,04926 231 313,Bronze,Occasional
"""CID6477355""",Male,1/18/1992,Maya,Petersen,04447 938 512,Bronze,New
"""CID5007066""",Male,6/9/1997,Paisley,Ochoa,04752 360 265,Silver,New
"""CID6438326""",Male,2/21/1986,Hannah,Manning,04195 828 105,Bronze,Occasional
"""CID5885514""",Male,11/9/1977,Luca,Campbell,04861 716 545,Silver,New
"""CID5486947""",Male,9/8/1986,Hannah,Bryant,04161 482 155,Bronze,Occasional
"""CID7805280""",Male,11/4/1981,Valentina,Person,04133 782 443,Bronze,Occasional
"""CID9413620""",Male,3/16/1991,Kennedy,Alexander,04434 357 312,Bronze,Occasional
"""CID3101926""",Male,11/25/1975,Lucy,Ali,04902 319 986,Bronze,New
"""CID6810411""",Male,11/25/1988,Nathan,Wilson,04674 914 902,Silver,New
"""CID8433663""",Male,7/15/1993,Luke,Perkins,04214 865 141,Bronze,Occasional
"""CID9419495""",Male,1/1/1992,Victoria,Garner,04266 179 136,Silver,New
"""CID4871438""",Male,5/4/1984,Elias,Gibson,04648 210 406,Bronze,New
"""CID1880505""",Male,3/1/1973,Ellie,Torres,04302 285 383,Gold,New
"""CID8787746""",Male,3/14/1970,Kennedy,Hernandez,04554 140 645,Bronze,Occasional
"""CID1025742""",Male,6/19/1976,Sarah,Soto,04297 880 407,Silver,New
"""CID8094609""",Male,10/11/1997,Colton,Arias,04866 289 295,Gold,New
"""CID6968311""",Male,5/14/1988,Penelope,Brady,04335 624 154,Bronze,New
"""CID9283370""",Male,3/30/2006,Elias,Kennedy,04813 365 152,Silver,New
"""CID5705499""",Male,4/23/1987,Scarlett,Klein,04915 314 518,Silver,New
"""CID1210782""",Male,8/4/1988,Luke,Thompson,04282 222 467,Silver,New
"""CID2831708""",Male,3/5/1992,Penelope,Long,04803 623 322,Silver,New
"""CID3403699""",Male,12/8/1980,Addison,Ayala,04259 913 371,Silver,New
"""CID2038230""",Male,1/16/1990,Willow,Daniels,04555 667 562,Bronze,Frequent Rider
"""CID7289498""",Male,7/30/1974,Jade,Villanueva,04671 158 105,Bronze,Frequent Rider
"""CID3326946""",Male,9/22/1985,Aria,Ellis,04901 651 475,Silver,New
"""CID8227993""",Male,12/27/1989,Hazel,Barber,04319 962 539,Bronze,New
"""CID9560489""",Male,3/9/1976,Sophia,Myers,04130 491 779,Bronze,Frequent Rider
"""CID4051792""",Male,3/15/1987,Grayson,Campos,04760 430 449,Bronze,Occasional
"""CID1851430""",Male,6/15/1977,Josie,Ross,04614 565 829,Silver,New
"""CID6999817""",Male,7/26/1983,Athena,Shaffer,04899 229 387,Bronze,Occasional
"""CID8609350""",Male,9/24/1997,Leah,Wolf,04163 746 772,Bronze,Frequent Rider
"""CID6085619""",Male,2/23/1988,Parker,Briggs,04123 546 406,Bronze,New
"""CID8351180""",Male,7/3/1970,Jack,Fuller,04977 321 524,Bronze,New
"""CID5467225""",Male,3/9/1986,Aurora,George,04914 476 724,Silver,New
"""CID3829804""",Male,7/7/1992,Beau,Wise,04189 163 804,Bronze,Occasional
"""CID3231090""",Male,4/6/1986,Nathan,Flynn,04510 732 667,Silver,New
"""CID1628370""",Male,1/5/1977,Aria,Wolfe,04218 894 743,Bronze,Occasional
"""CID4773175""",Male,9/5/1971,Athena,Klein,04518 364 745,Bronze,New
"""CID5704025""",Male,3/16/1992,Myles,Foster,04535 868 945,Bronze,Occasional
"""CID3134967""",Male,10/27/1992,Addison,Chapman,04500 984 276,Bronze,Occasional
"""CID4003339""",Male,6/20/1986,Delilah,Cain,04423 125 711,Silver,New
"""CID9244184""",Male,2/10/1979,Julian,Ruiz,04106 799 306,Bronze,New
"""CID7659765""",Male,9/13/1992,Grace,Maldonado,04365 574 298,Bronze,Occasional
"""CID7747807""",Male,4/9/1986,John,Wise,04132 928 797,Gold,New
"""CID2293483""",Male,2/10/1978,Gael,Cobb,04494 978 557,Silver,New
"""CID5715130""",Male,9/24/1982,Leah,Bowen,04196 871 819,Silver,New
"""CID2370613""",Male,7/6/1992,Wesley,Hartman,04217 797 881,Silver,New
"""CID2589193""",Male,6/6/1982,Luna,Chang,04170 911 933,Bronze,Occasional
"""CID7341591""",Male,9/30/1991,Ezra,Lindsey,04965 112 931,Gold,New
"""CID3407189""",Male,3/29/1991,Sofia,Gilbert,04210 473 599,Silver,New
"""CID2944423""",Male,7/8/1984,Riley,Gallegos,04937 727 945,Bronze,Occasional
"""CID8137475""",Male,10/1/1994,Avery,Brock,04108 914 744,Bronze,New
"""CID7359331""",Male,3/5/1978,Penelope,Shah,04421 842 901,Bronze,New
"""CID8335294""",Male,11/20/1992,Joseph,Arias,04730 245 305,Silver,New
"""CID5797043""",Male,3/22/1982,Wyatt,Gill,04496 468 620,Bronze,New
"""CID6701334""",Male,4/1/1987,Leonardo,Howell,04859 666 346,Silver,New
"""CID7359512""",Male,6/26/1972,Ivy,Cabrera,04954 335 291,Gold,New
"""CID8684841""",Male,12/11/1986,Eliana,Hogan,04918 381 353,Bronze,Frequent Rider
"""CID5736754""",Male,9/17/1983,John,May,04160 533 258,Bronze,Occasional
"""CID3984123""",Male,1/17/1986,Noah,Potter,04435 948 791,Bronze,Occasional
"""CID5160108""",Male,3/20/1986,Anthony,Salas,04204 782 376,Silver,New
"""CID6695773""",Male,7/21/2005,Madelyn,Patton,04432 775 159,Bronze,Frequent Rider
"""CID6462328""",Male,7/10/1989,Nova,Briggs,04151 736 747,Bronze,New
"""CID7156852""",Male,4/19/1991,Abigail,Bautista,04417 146 234,Bronze,Occasional
"""CID9573465""",Male,9/19/1988,Abigail,Vargas,04808 112 644,Bronze,Occasional
"""CID8652330""",Male,1/30/1984,Josephine,Silva,04122 361 858,Bronze,New
"""CID1251463""",Male,10/27/1976,Roman,Quinn,04343 360 545,Silver,New
"""CID6635464""",Male,9/5/1993,Mia,Arnold,04955 557 524,Bronze,Frequent Rider
"""CID2961093""",Male,1/1/1994,Olivia,Bauer,04920 581 197,Silver,New
"""CID9026677""",Male,4/25/1983,Cooper,Gilbert,04149 473 437,Bronze,New
"""CID5774800""",Male,1/25/1986,Hannah,Bautista,04652 869 975,Bronze,New
"""CID8986725""",Male,8/22/1972,Emily,Rosales,04894 152 447,Bronze,Occasional
"""CID4718297""",Male,11/29/1994,Bennett,White,04383 108 413,Bronze,Occasional
"""CID5726360""",Male,11/3/1986,Eliana,Garner,04143 884 140,Silver,New
"""CID1915443""",Male,10/19/1991,Thomas,Blake,04357 599 432,Bronze,Occasional
"""CID3515824""",Male,8/21/1994,Axel,Keller,04249 941 244,Bronze,New
"""CID1856576""",Male,12/25/1989,Autumn,Ellis,04623 762 391,Silver,New
"""CID7792143""",Male,11/10/1992,Ruby,Wise,04386 162 252,Bronze,New
"""CID3333217""",Male,8/25/2007,Josephine,Hines,04293 741 183,Bronze,New
"""CID3121337""",Male,12/5/1990,Scarlett,Parks,04463 215 656,Silver,New
"""CID5140786""",Male,5/17/1988,Colton,Arnold,04626 613 992,Gold,New
"""CID6685791""",Male,5/10/1978,Josie,Hopkins,04248 397 361,Silver,New
"""CID5468663""",Male,11/25/1983,Riley,Wang,04436 680 140,Bronze,New
"""CID2998238""",Male,5/14/1979,Walker,Luna,04314 915 140,Bronze,New
"""CID9052724""",Male,12/14/1972,Maverick,Fuentes,04673 795 578,Bronze,Frequent Rider
"""CID4887972""",Male,4/19/1992,Emery,Bowman,04760 907 938,Silver,New
"""CID8581638""",Male,2/1/1990,Luca,Lane,04218 366 482,Bronze,Occasional
"""CID9683944""",Male,5/3/1973,Eloise,Byrd,04330 456 754,Bronze,New
"""CID5493342""",Male,12/20/1976,Aurora,Snyder,04688 643 885,Bronze,New
"""CID2154950""",Male,3/1/1983,Zoey,Burns,04470 411 600,Bronze,Occasional
"""CID4175153""",Male,3/12/1985,Ava,Zamora,04460 664 930,Gold,New
"""CID5474366""",Male,12/28/1977,Adam,Miller,04291 199 641,Silver,New
"""CID8951576""",Male,6/28/1988,Scarlett,Parks,04886 749 426,Bronze,New
"""CID9418411""",Male,11/26/1994,Emma,Bryant,04291 283 999,Gold,New
"""CID2820460""",Male,3/16/1989,Isabella,Campos,04169 630 595,Silver,New
"""CID5637874""",Male,1/24/1981,Charlotte,Harper,04773 544 363,Bronze,New
"""CID6386344""",Male,1/16/1974,Theodore,Cobb,04556 857 499,Gold,New
"""CID3065827""",Male,2/24/1976,Kai,Cook,04806 250 989,Gold,New
"""CID1807270""",Male,4/28/1974,Brooks,Cox,04735 772 101,Silver,New
"""CID3761463""",Male,10/13/1975,Ellie,Johnson,04327 250 418,Gold,New
"""CID5242973""",Male,11/15/1984,Isaac,Sandoval,04834 372 938,Bronze,New
"""CID1051794""",Male,10/20/1986,Aria,Hamilton,04178 399 731,Gold,New
"""CID4507250""",Male,2/26/1981,Oliver,Hudson,04403 437 248,Silver,New
"""CID1429306""",Male,3/6/1999,Everly,Christensen,04272 329 786,Silver,New
"""CID1039074""",Male,8/11/1990,Robert,Shaffer,04492 605 208,Gold,New
"""CID2089650""",Male,5/3/1982,Audrey,Obrien,04701 763 218,Silver,New
"""CID7330180""",Male,5/21/1978,Joshua,Craig,04251 200 213,Silver,New
"""CID1210899""",Male,12/27/1985,Lucy,Trujillo,04409 192 129,Bronze,New
"""CID3076700""",Male,6/21/1989,Jacob,Weber,04503 830 924,Bronze,New
"""CID4809063""",Male,12/10/1985,Wesley,Matthews,04546 429 911,Gold,New
"""CID7348314""",Male,4/25/1986,Lincoln,Hoover,04331 789 563,Bronze,New
"""CID2529885""",Male,1/24/1983,Joshua,Nelson,04491 775 132,Bronze,Frequent Rider
"""CID7334750""",Male,4/5/1979,Aria,Hoover,04186 601 596,Silver,New
"""CID7993999""",Male,10/27/1976,Lily,Bell,04290 777 285,Bronze,Occasional
"""CID3234126""",Male,3/20/1987,Walker,Hodges,04142 549 283,Gold,New
"""CID3901448""",Male,10/21/1991,Andrew,Jimenez,04677 424 485,Bronze,Occasional
"""CID1201304""",Male,5/18/1980,Willow,Erickson,04878 243 884,Silver,New
"""CID8248967""",Male,11/4/1986,Elena,Hughes,04767 213 809,Bronze,New
"""CID1109267""",Male,6/12/1981,Ava,Barrett,04138 107 495,Bronze,New
"""CID6238168""",Male,8/29/1988,Joseph,Phillips,04554 413 790,Silver,New
"""CID7557487""",Male,12/19/1986,Kennedy,Frank,04932 275 511,Bronze,Frequent Rider
"""CID5636263""",Male,11/7/1990,Ayla,Shaffer,04986 220 961,Gold,New
"""CID1461597""",Male,1/25/1985,Enzo,Flores,04381 913 158,Bronze,Occasional
"""CID3685295""",Male,2/12/1978,Grace,Soto,04974 337 412,Gold,New
"""CID1026547""",Male,5/27/1985,Emily,Bowers,04580 125 788,Bronze,Frequent Rider
"""CID9143442""",Male,7/2/1992,Nolan,Smith,04366 868 846,Bronze,New
"""CID7723858""",Male,3/13/1990,Oliver,Howard,04889 364 140,Bronze,Frequent Rider
"""CID6010303""",Male,9/29/1994,Eleanor,Holloway,04780 579 486,Bronze,Occasional
"""CID9643714""",Male,9/27/1991,Josie,Schneider,04968 744 500,Silver,New
"""CID9975388""",Male,5/29/1996,Madeline,Leonard,04935 896 156,Gold,New
"""CID6080643""",Male,9/13/1987,Eloise,Chandler,04109 325 799,Gold,New
"""CID8474448""",Male,9/30/1984,Allison,Hodges,04889 358 293,Bronze,New
"""CID1607386""",Male,5/20/1972,Mila,Mckenzie,04122 520 200,Bronze,New
"""CID9231793""",Male,4/19/1970,Layla,Price,04231 877 551,Silver,New
"""CID1814194""",Male,5/20/1983,Aaliyah,Austin,04428 530 661,Gold,New
"""CID5577961""",Male,5/7/1990,Natalie,Hawkins,04466 992 650,Silver,New
"""CID2958217""",Male,12/11/1994,Isla,Ryan,04142 661 333,Silver,New
"""CID4463605""",Male,4/18/1977,Beau,Sandoval,04359 769 962,Silver,New
"""CID9084957""",Male,9/6/2003,Axel,Becker,04885 250 509,Bronze,Frequent Rider
"""CID8121948""",Male,4/11/1983,Leah,Watkins,04966 675 314,Bronze,New
"""CID4203688""",Male,4/5/1986,Beau,Hess,04549 843 672,Silver,New
"""CID7265108""",Male,3/10/1983,James,Guzman,04277 483 756,Gold,New
"""CID4647277""",Male,4/26/1994,Zoey,Washington,04256 612 572,Bronze,Occasional
"""CID5808222""",Male,11/8/1986,William,Goodwin,04660 706 944,Bronze,Occasional
"""CID2012161""",Male,11/23/1993,Lily,Lara,04372 360 649,Bronze,New
"""CID8152575""",Male,5/3/1975,Ezekiel,Garcia,04103 615 134,Silver,New
"""CID6242930""",Male,9/26/1974,Owen,Lambert,04219 533 363,Bronze,Occasional
"""CID3389825""",Male,8/1/1971,Layla,Norris,04140 886 540,Bronze,Occasional
"""CID6418422""",Male,3/23/1981,Eli,Castaneda,04711 320 382,Silver,New
"""CID6365387""",Male,11/30/1970,Grace,Chan,04914 791 423,Silver,New
"""CID5973257""",Male,6/14/1984,Brooks,Wise,04408 767 974,Bronze,Occasional
"""CID8225890""",Male,10/14/1994,Stella,Harper,04231 577 362,Bronze,New
"""CID8378909""",Male,1/14/1990,Cooper,West,04400 515 357,Bronze,Occasional
"""CID9032039""",Male,4/23/1973,Mason,Petersen,04266 609 960,Gold,New
"""CID9448818""",Male,11/7/1988,Lucia,Sherman,04543 765 898,Gold,New
"""CID8747096""",Male,8/29/1994,Kai,Barber,04523 639 780,Silver,New
"""CID1104786""",Male,7/15/1989,Adrian,Ross,04911 346 147,Silver,New
"""CID7166980""",Male,1/23/1990,Beau,Ibarra,04803 325 332,Bronze,Occasional
"""CID9190683""",Male,1/11/1990,Elias,Alvarez,04143 632 150,Silver,New
"""CID9031824""",Male,12/15/1985,Ezra,Holloway,04298 703 958,Bronze,Occasional
"""CID3789359""",Male,9/19/1970,Maeve,Carpenter,04504 848 783,Bronze,Occasional
"""CID5103518""",Male,3/7/1987,Sadie,Jenkins,04941 930 239,Silver,New
"""CID9092173""",Male,9/30/1990,Vivian,Walton,04232 835 775,Bronze,Frequent Rider
"""CID3372949""",Male,7/19/1977,Leilani,Clark,04711 774 757,Silver,New
"""CID4998701""",Male,8/9/1994,Nora,Gordon,04300 973 936,Silver,New
"""CID6825812""",Male,8/5/1993,Maria,Lewis,04420 394 124,Bronze,Occasional
"""CID7694379""",Male,11/28/1973,Ivy,Frazier,04755 359 327,Silver,New
"""CID1875498""",Male,2/2/1977,Kai,Peterson,04155 938 749,Silver,New
"""CID5302286""",Male,11/17/1985,Charlotte,Davidson,04831 352 261,Silver,New
"""CID8316899""",Male,7/23/1984,Carter,Austin,04859 853 325,Bronze,Occasional
"""CID2089022""",Male,6/21/1982,Robert,Rogers,04679 951 496,Silver,New
"""CID2183387""",Male,2/27/1980,Lincoln,Patrick,04658 797 686,Bronze,Occasional
"""CID1889689""",Male,2/21/1975,Allison,Aguilar,04227 622 129,Silver,New
"""CID8741995""",Male,10/13/1972,Leilani,Nguyen,04435 993 559,Bronze,Occasional
"""CID7080252""",Male,9/9/1976,Emily,Cross,04165 588 957,Gold,New
"""CID3656786""",Male,9/11/1987,Mila,Cruz,04970 262 159,Bronze,Occasional
"""CID1670641""",Male,3/1/1994,Ezra,Jones,04566 640 157,Bronze,Frequent Rider
"""CID1401223""",Male,9/17/1980,Ivy,Williamson,04236 306 999,Silver,New
"""CID7281467""",Male,12/31/1990,Adrian,Schultz,04555 508 885,Bronze,Occasional
"""CID2894784""",Male,3/28/2003,Grace,Cunningham,04968 913 503,Silver,New
"""CID8283589""",Male,4/13/1984,David,Mcguire,04655 764 558,Bronze,Occasional
"""CID3277993""",Male,7/24/1991,Theo,Calderon,04625 476 393,Bronze,New
"""CID2049171""",Male,11/30/1992,Sophie,Wolfe,04279 749 265,Bronze,Occasional
"""CID4955715""",Male,5/16/1994,Natalie,Chang,04992 889 822,Bronze,Occasional
"""CID2749175""",Male,6/24/1984,Lucas,Aguilar,04308 579 470,Silver,New
"""CID6307524""",Male,12/4/1994,Lily,Nunez,04307 575 295,Bronze,Frequent Rider
"""CID5464558""",Male,7/20/1974,Ryan,Kim,04558 143 333,Bronze,Frequent Rider
"""CID8125937""",Male,2/10/1978,Matthew,Singh,04863 191 902,Silver,New
"""CID2026490""",Male,4/15/1994,Eli,Bowers,04741 845 414,Gold,New
"""CID3865002""",Male,10/17/2003,Hazel,Ward,04175 696 998,Gold,New
"""CID6954811""",Male,1/13/1988,Nolan,Roman,04570 598 419,Bronze,New
"""CID4533250""",Male,1/11/1986,Amir,Obrien,04548 187 841,Silver,New
"""CID2099192""",Male,6/12/1990,Michael,Cummings,04706 991 455,Bronze,New
"""CID3906781""",Male,7/12/1990,Aurora,Figueroa,04632 977 207,Silver,New
"""CID7679264""",Male,8/28/1973,Aiden,Burns,04724 860 919,Gold,New
"""CID8192836""",Male,12/8/1986,Luke,Marsh,04589 756 958,Silver,New
"""CID1892630""",Male,10/7/1986,Sophie,Keller,04770 396 306,Silver,New
"""CID5350125""",Male,5/21/1987,Ruby,Swanson,04309 718 503,Bronze,New
"""CID3570152""",Male,1/4/1971,Nathan,Newton,04561 882 868,Bronze,Occasional
"""CID2108992""",Male,10/16/1992,Kennedy,Turner,04308 121 858,Silver,New
"""CID9712348""",Male,6/16/1979,Stella,Diaz,04802 841 274,Bronze,New
"""CID8572565""",Male,10/31/1993,Autumn,Hoffman,04205 414 910,Silver,New
"""CID7449191""",Male,11/24/1987,Iris,Thomas,04639 176 709,Bronze,New
"""CID3617414""",Male,1/21/1988,Jeremiah,Douglas,04852 241 745,Bronze,Frequent Rider
"""CID2424398""",Male,6/21/1976,Grace,Deleon,04202 858 655,Bronze,Occasional
"""CID7174383""",Male,11/11/1978,Avery,Chavez,04540 990 424,Bronze,Occasional
"""CID9232923""",Male,5/30/1971,Ava,Adkins,04179 656 677,Bronze,New
"""CID2909332""",Male,1/1/1975,Emilia,Price,04402 612 414,Gold,New
"""CID5429248""",Male,11/5/1994,Gabriel,Parsons,04150 502 121,Bronze,Occasional
"""CID9812979""",Male,2/21/1991,Nathan,Woods,04165 397 637,Bronze,Occasional
"""CID1837528""",Male,7/14/1991,Micah,Craig,04534 998 201,Silver,New
"""CID6449078""",Male,11/21/1991,Mila,Padilla,04968 995 555,Silver,New
"""CID5970413""",Male,2/11/1983,Jaxon,Reynolds,04808 928 866,Silver,New
"""CID9646686""",Male,2/5/1987,Luka,Serrano,04382 169 542,Bronze,New
"""CID2856626""",Male,1/13/1981,Asher,Hartman,04432 173 653,Bronze,New
"""CID8159457""",Male,7/19/1991,Lainey,Lawson,04725 545 186,Bronze,Occasional
"""CID1715075""",Male,11/13/1993,Lily,Cox,04763 888 892,Bronze,New
"""CID2461173""",Male,4/27/1994,Zoe,Jenkins,04954 890 854,Gold,New
"""CID5603156""",Male,7/12/1989,Lainey,Nash,04403 169 415,Bronze,New
"""CID8868738""",Male,11/22/1980,Everett,Hartman,04958 435 516,Bronze,Occasional
"""CID7656183""",Male,6/17/1984,James,Garner,04417 731 732,Silver,New
"""CID1229469""",Male,6/20/1991,Myles,Daniels,04132 797 558,Bronze,Occasional
"""CID6951861""",Male,11/22/1986,Kennedy,Guerrero,04224 858 788,Bronze,New
"""CID1368334""",Male,6/16/1987,James,Ray,04686 562 939,Silver,New
"""CID5283020""",Male,1/14/1978,Hazel,Person,04896 683 247,Gold,New
"""CID7417050""",Male,5/11/1983,Jonathan,James,04835 170 926,Bronze,Frequent Rider
"""CID8949589""",Male,11/24/1987,Leilani,Lang,04701 871 208,Bronze,Frequent Rider
"""CID9116623""",Male,8/24/1979,Emma,Young,04706 461 847,Bronze,New
"""CID3967495""",Male,5/10/1983,Hudson,Payne,04459 371 629,Silver,New
"""CID3741723""",Male,10/12/1984,Theo,Nichols,04847 802 437,Silver,New
"""CID8123696""",Male,1/14/1997,Jonathan,Snyder,04792 833 204,Bronze,New
"""CID7928240""",Male,11/20/1971,August,Alexander,04826 170 197,Silver,New
"""CID1975343""",Male,8/5/1993,Daniel,Evans,04153 735 469,Bronze,Occasional
"""CID3244272""",Male,11/24/1987,Emma,Arnold,04769 611 285,Silver,New
"""CID5963264""",Male,12/11/1979,Natalie,Roberts,04194 643 442,Gold,New
"""CID5761924""",Male,8/13/1993,Elizabeth,Rice,04197 249 698,Silver,New
"""CID7911273""",Male,5/5/1986,Ezra,Mitchell,04400 935 692,Silver,New
"""CID1466189""",Male,11/25/1984,August,Gregory,04531 257 862,Bronze,Frequent Rider
"""CID5227340""",Male,7/11/1992,Henry,Pineda,04936 670 638,Bronze,New
"""CID4943288""",Male,7/6/1989,Jonathan,Pena,04987 416 826,Bronze,New
"""CID1873624""",Male,11/27/1978,Jonathan,Harris,04794 980 140,Bronze,New
"""CID7666967""",Male,3/31/1990,Grace,Salas,04424 888 185,Bronze,Occasional
"""CID8433669""",Male,6/1/1991,Sadie,Logan,04280 760 272,Silver,New
"""CID5653812""",Male,8/15/1988,Caroline,Zhang,04322 574 287,Bronze,Frequent Rider
"""CID5057901""",Male,7/17/1984,Wyatt,Manning,04487 172 796,Bronze,Occasional
"""CID6454968""",Male,12/8/1975,Layla,French,04871 684 853,Silver,New
"""CID9935423""",Male,4/3/1994,Bennett,Hess,04147 227 416,Bronze,Occasional
"""CID2336782""",Male,9/8/1986,Logan,Dean,04524 936 678,Bronze,New
"""CID4369282""",Male,6/13/1979,Harper,Gibson,04724 293 867,Silver,New
"""CID3915373""",Male,10/25/1981,Emery,Beil,04423 913 192,Bronze,New
"""CID4485200""",Male,1/23/1978,Lucas,Austin,04120 410 182,Bronze,New
"""CID9964707""",Male,6/23/1985,Everett,Acosta,04345 615 632,Gold,New
"""CID1669827""",Male,11/2/1993,Maya,Stevenson,04860 300 993,Bronze,Occasional
"""CID6909825""",Male,7/4/1984,Riley,Bennett,04810 758 130,Silver,New
"""CID6952097""",Male,4/26/1976,Enzo,Hawkins,04101 228 927,Bronze,New
"""CID7384045""",Male,4/12/1987,Jade,Peterson,04232 105 100,Silver,New
"""CID3597216""",Male,9/20/1981,Benjamin,Shepherd,04965 244 278,Bronze,New
"""CID7000290""",Male,9/19/1976,Ellie,Ballard,04414 232 230,Bronze,New
"""CID4412829""",Male,9/7/1985,Iris,Huang,04433 480 102,Silver,New
"""CID3430917""",Male,7/27/1987,Luka,Joseph,04881 978 615,Silver,New
"""CID5614686""",Male,5/2/1992,Penelope,Brown,04155 850 658,Silver,New
"""CID2765782""",Male,9/20/1990,Olivia,Duran,04574 988 819,Silver,New
